Total population,Rwanda,Burundi
1951,2250675,2359234
1952,2313306,2403777
1953,2378442,2445836
1954,2448814,2487929
1955,2525524,2531800
1956,2607945,2578393
1957,2693819,2627880
1958,2779550,2679765
1959,2860694,2733050
1960,2933424,2786740
1961,2996091,2840375
1962,3050596,2894510
1963,3102968,2950903
1964,3161719,3011957
1965,3232937,3079034
1966,3319077,3153879
1967,3418313,3235125
1968,3527260,3317315
1969,3640591,3392949
1970,3754546,3457113
1971,3868345,3507593
1972,3983707,3547335
1973,4102336,3582952
1974,4226836,3623853
1975,4359166,3676991
1976,4499720,3744696
1977,4648070,3825484
1978,4804375,3917866
1979,4968628,4018927
1980,5140786,4126544
1981,5313908,4239673
1982,5486431,4359122
1983,5669251,4486613
1984,5877556,4624617
1985,6117966,4774258
1986,6410594,4936429
1987,6742390,5108581
1988,7048075,5284173
1989,7239097,5454475
1990,7259740,5613141
1991,7071393,5759429
1992,6712924,5895131
1993,6300358,6019901
1994,5995987,6134041
1995,5912755,6239030
1996,6097688,6333415
1997,6506118,6420397
1998,7047196,6511920
1999,7585143,6623707
2000,8021875,6767073
2001,8329113,6946720
2002,8539029,7159918
2003,8686469,7401215
2004,8828956,7661613
2005,9008230,7934213
2006,9231041,8218070
2007,9481083,8514578
2008,9750314,8821795
2009,10024594,9137786
2010,10293669,9461117
2011,10556429,9790151
2012,10817350,10124572
2013,11078095,10465959
2014,11341544,10816860
2015,11609666,11178921
