Year,census,prb,un
2016,7334771614.0,,7432663280.0
2017,7412778971.0,,
2018,7490427640.0,,
2019,7567402977.0,,
2020,7643402123.0,,7758157000.0
2021,7718256830.0,,
2022,7792021317.0,,
2023,7864725370.0,,
2024,7936271554.0,,
2025,8006580553.0,8000000000.0,8141661000.0
2026,8075716000.0,,
2027,8143729466.0,,
2028,8210559895.0,,
2029,8276190519.0,,
2030,8340606590.0,8505000000.0,8500766000.0
2031,8403880343.0,,
2032,8466094022.0,,
2033,8527246205.0,,
2034,8587325154.0,,
2035,8646304704.0,,8838908000.0
2036,8704239274.0,,
2037,8761189197.0,,
2038,8817138785.0,,
2039,8872066537.0,,
2040,8925949679.0,,9157234000.0
2041,8978822945.0,,
2042,9030723366.0,,
2043,9081617002.0,,
2044,9131462326.0,,
2045,9180225214.0,,9453892000.0
2046,9227935007.0,,
2047,9274616811.0,,
2048,9320232984.0,,
2049,9364750182.0,,
2050,9408141302.0,9804000000.0,9725148000.0
2055,,,9968809000.0
2060,,,10184290000.0
2065,,,10375719000.0
2070,,,10547989000.0
2075,,,10701653000.0
2080,,,10836635000.0
2085,,,10953525000.0
2090,,,11055270000.0
2095,,,11142461000.0
2100,,,11213317000.0
